Street_One,Street_Two_,Street_Two,City,State,Country,Latitude,Longitude
MISSION ST,RUSSIA AVE,"RUSSIA AVE, San Francisco, CA, USA",San Francisco,California,USA,37.7214246,-122.4371688
MISSION ST,RUTH ST,"RUTH ST, San Francisco, CA, USA",San Francisco,California,USA,37.7228612,-122.436342
MISSION ST,SAINT MARYS AVE,"SAINT MARYS AVE, San Francisco, CA, USA",San Francisco,California,USA,37.73410153,-122.4261158
MISSION ST,SAN JUAN AVE,"SAN JUAN AVE, San Francisco, CA, USA",San Francisco,California,USA,37.72414896,-122.4353485
MISSION ST,SANTA ROSA AVE,"SANTA ROSA AVE, San Francisco, CA, USA",San Francisco,California,USA,37.72594809,-122.434035
MISSION ST,SENECA AVE,"SENECA AVE, San Francisco, CA, USA",San Francisco,California,USA,37.7178613,-122.4401287
MISSION ST,SHAW ALY,"SHAW ALY, San Francisco, CA, USA",San Francisco,California,USA,37.78914072,-122.3985343
MISSION ST,SILVER AVE,"SILVER AVE, San Francisco, CA, USA",San Francisco,California,USA,37.7285701,-122.431343
MISSION ST,SPEAR ST,"SPEAR ST, San Francisco, CA, USA",San Francisco,California,USA,37.7924299,-122.394385
MISSION ST,STEUART ST,"STEUART ST, San Francisco, CA, USA",San Francisco,California,USA,37.7932952,-122.393419
MISSION ST,SYCAMORE ST,"SYCAMORE ST, San Francisco, CA, USA",San Francisco,California,USA,37.76293031,-122.4194441
MISSION ST,THE EMBARCADERO,"THE EMBARCADERO, San Francisco, CA, USA",San Francisco,California,USA,37.7944319,-122.392925
MISSION ST,THERESA ST,"THERESA ST, San Francisco, CA, USA",San Francisco,California,USA,37.72784747,-122.4323462
MISSION ST,TINGLEY ST,"TINGLEY ST, San Francisco, CA, USA",San Francisco,California,USA,37.72842907,-122.4317162
MISSION ST,TRUMBULL ST,"TRUMBULL ST, San Francisco, CA, USA",San Francisco,California,USA,37.7306114,-122.429317
MISSION ST,VALENCIA ST,"VALENCIA ST, San Francisco, CA, USA",San Francisco,California,USA,37.7452138,-122.420259
MISSION ST,VIRGINIA AVE,"VIRGINIA AVE, San Francisco, CA, USA",San Francisco,California,USA,37.74330077,-122.4215094
MISSION ST,WASHBURN ST,"WASHBURN ST, San Francisco, CA, USA",San Francisco,California,USA,37.77599915,-122.4152174
MISSION ST,WHIPPLE AVE,"WHIPPLE AVE, San Francisco, CA, USA",San Francisco,California,USA,37.71088837,-122.4476436
MISSION ST,YERBA BUENA LN,"YERBA BUENA LN, San Francisco, CA, USA",San Francisco,California,USA,37.78524855,-122.4034845
